2026-03-16 16:13:47.672 INFO  [37216] [CAuthorization::Init@57] [Init] Begin.

2026-03-16 16:13:47.773 INFO  [37216] [CDongleV5::LoginFirstValidVM3DLicense@96] 1 Lock are/is found totally.

2026-03-16 16:13:47.773 INFO  [37216] [CDongleV5::LoginFirstValidVM3DLicense@99] At Host[DESKTOP-P7BPLUG] LockType[1] LockID[-1409519852] LicenseNum[2]

2026-03-16 16:13:47.773 INFO  [37216] [CDongleV5::LoginFirstValidVM3DLicense@102] LicenseID=[60012] LicenseType=[1]

2026-03-16 16:13:47.773 INFO  [37216] [CDongleV5::LoginFirstValidVM3DLicense@107] VM3D License Found. LicenseID=[60012] LicenseType=[1]

2026-03-16 16:13:47.773 INFO  [37216] [CDongleV5::LoginFirstValidVM3DLicense@102] LicenseID=[200000000] LicenseType=[1]

2026-03-16 16:13:47.885 INFO  [37216] [CDongleV5::LoginFirstValidVM3DLicense@239] MV_LoginLicenseEx sucessfully, handle[1] licId[60012]

2026-03-16 16:13:47.885 INFO  [37216] [CDongleV5::Login@327] LoginFirstValidVM3DLicense sucessfully, dongle type[0](0:dongle, 2:soft lock, 3:remote dongle) handle[1] licId[60012]

2026-03-16 16:13:47.885 INFO  [37216] [CDongleV5::GetDongleInfo@373] MV_GetUserDataSize begin

2026-03-16 16:13:47.900 INFO  [37216] [CDongleV5::GetDongleInfo@381] MV_GetUserDataSize end

2026-03-16 16:13:47.918 INFO  [37216] [CDongleV5::GetDongleInfo@398] MV_ReadUserData, Dongle name[3D7300], camera num[10], soft version[1], series[0], language[0]

2026-03-16 16:13:47.918 INFO  [37216] [CDongleV5::GetDongleInfo@404] Dongle serial number[FL0617219] len[9]

2026-03-16 16:13:48.003 INFO  [37216] [CDongleV5::GetLicenseInfo@572] GetRemainTime end.

2026-03-16 16:13:48.003 INFO  [37216] [CAuthorization::Init@77] [Init] Get license v5 sucessfully

2026-03-16 16:13:48.003 INFO  [37216] [CAuthorization::StartCheckThread@222] StartCheckThread begin.

2026-03-16 16:13:48.003 INFO  [37216] [CAuthorization::StartCheckThread@248] StartCheckThread end.

2026-03-16 16:13:48.003 INFO  [37216] [CAuthorization::Init@90] [Init] End.

2026-03-16 16:13:48.003 INFO  [37216] [InitPluginInstance@27] [Init] [End]

2026-03-16 16:13:48.014 INFO  [34572] [CAuthorization::DoAuthCheck@274] DoAuthCheck begin.

